bath,balcony,price,total_sqft_int,bhk,price_per_sqft
3.0,3.0,149.0,1160.0,2.0,12844.827586206897
3.0,2.0,160.0,1500.0,2.0,10666.666666666666
2.0,3.0,44.0,1034.0,2.0,4255.31914893617
2.0,2.0,83.0,1570.0,2.0,5286.624203821656
2.0,1.0,58.0,1500.0,4.0,3866.6666666666665
2.0,1.0,47.0,1220.0,2.0,3852.4590163934427
2.0,2.0,40.0,1276.0,2.0,3134.796238244514
1.0,1.0,35.0,1464.0,2.0,2390.710382513661
1.0,1.0,25.5,1150.0,2.0,2217.391304347826
1.0,0.0,28.0,1478.0,3.0,1894.4519621109607
1.0,0.0,19.8,1418.0,1.0,1396.3328631875881
1.0,0.0,25.25,510.0,1.0,4950.980392156863
1.0,1.0,25.25,1730.0,3.0,1459.5375722543354
3.0,1.5843757375501535,80.0,1893.0,2.0,4226.0961436872685
3.0,1.0,90.0,1565.0,3.0,5750.7987220447285
2.0,1.0,67.0,1374.0,3.0,4876.27365356623
3.0,2.0,125.0,1160.0,2.0,10775.862068965518
3.0,2.0,60.0,2400.0,3.0,2500.0
4.0,2.0,85.0,2100.0,5.0,4047.6190476190477
2.0,3.0,110.0,1296.0,2.0,8487.654320987655
3.0,2.0,210.0,1200.0,2.0,17500.0
4.0,3.0,250.0,2400.0,4.0,10416.666666666666
3.0,1.0,167.0,1297.0,3.0,12875.867386276022
4.0,1.0,210.0,1570.0,3.0,13375.79617834395
3.0,1.5843757375501535,157.0,2500.0,5.0,6280.0
2.0,1.0,100.0,1220.0,2.0,8196.72131147541
2.0,0.0,180.0,1300.0,3.0,13846.153846153846
3.0,3.0,131.0,1220.0,2.0,10737.704918032787
2.0,2.0,88.5,1240.0,2.0,7137.096774193548
2.0,1.5843757375501535,86.0,1165.0,2.0,7381.974248927038
2.0,2.0,85.0,740.0,2.0,11486.486486486487
2.0,1.0,240.0,1904.0,2.0,12605.042016806723
4.0,1.0,500.0,1720.0,3.0,29069.767441860466
3.0,3.0,92.0,1400.0,3.0,6571.428571428572
3.0,3.0,92.0,1050.0,2.0,8761.904761904761
3.0,2.0,90.0,3000.0,3.0,3000.0
3.0,2.0,90.0,1530.0,2.0,5882.35294117647
3.0,1.0,550.0,1700.0,4.0,32352.941176470587
1.0,1.0,55.0,1140.0,3.0,4824.561403508772
3.0,1.0,190.0,2132.0,3.0,8911.819887429643
2.0,2.0,38.0,1196.0,3.0,3177.257525083612
2.0,1.0,40.25,1245.0,3.0,3232.9317269076305
3.0,2.0,64.0,1719.0,3.0,3723.0948225712623
2.0,2.0,47.25,1250.0,2.0,3780.0
2.0,2.0,41.0,1623.0,2.0,2526.1860751694394
3.0,3.0,69.0,3200.0,3.0,2156.25
2.0,1.0,40.25,1485.0,2.0,2710.4377104377104
4.0,1.0,130.0,1450.0,3.0,8965.51724137931
3.0,2.0,142.0,1768.0,3.0,8031.6742081447965
4.0,2.0,285.0,1250.0,3.0,22800.0
4.0,3.0,240.0,1650.0,4.0,14545.454545454546
4.0,3.0,240.0,1282.0,3.0,18720.748829953198
4.0,3.0,240.0,1130.0,3.0,21238.938053097347
3.0,1.0,84.0,1056.0,2.0,7954.545454545455
2.0,1.0,80.0,1300.0,3.0,6153.846153846154
2.0,3.0,90.0,1610.0,2.0,5590.062111801242
2.0,3.0,95.0,1615.0,4.0,5882.35294117647
3.0,2.0,140.0,2051.0,2.0,6825.938566552901
2.0,1.0,130.0,1201.0,3.0,10824.313072439634
2.0,2.0,140.0,1200.0,2.0,11666.666666666666
3.0,1.0,270.0,1300.0,2.0,20769.23076923077
2.0,0.0,190.0,650.0,1.0,29230.76923076923
4.0,0.0,550.0,1752.0,3.0,31392.69406392694
3.0,3.0,140.0,1265.0,2.0,11067.193675889328
2.0,2.0,38.9,1250.0,3.0,3112.0
2.0,2.0,38.0,900.0,2.0,4222.222222222223
3.0,2.0,185.0,1035.0,2.0,17874.3961352657
4.0,1.0,120.0,1435.0,3.0,8362.369337979095
3.0,2.0,185.0,1200.0,2.0,15416.666666666666
5.0,1.5843757375501535,205.0,1575.0,4.0,13015.873015873016
1.0,1.0,300.0,2400.0,6.0,12500.0
2.0,2.0,60.0,1500.0,2.0,4000.0
3.0,3.0,52.5,1130.0,2.0,4646.017699115044
2.0,1.0,62.8,1255.0,1.0,5003.98406374502
2.0,2.0,63.0,1372.0,2.0,4591.836734693878
2.0,2.0,60.0,1150.0,2.0,5217.391304347826
2.0,1.0,88.0,1210.0,2.0,7272.727272727273
2.0,1.0,58.0,1285.0,1.0,4513.618677042801
2.0,3.0,100.0,1186.0,3.0,8431.703204047217
2.0,2.0,67.0,1810.0,2.0,3701.657458563536
2.0,1.0,75.0,1250.0,3.0,6000.0
3.0,2.0,60.0,2500.0,4.0,2400.0
2.0,1.0,68.0,935.0,2.0,7272.727272727273
2.0,2.0,61.8,1820.0,2.0,3395.6043956043954
2.0,2.0,57.0,1500.0,2.0,3800.0
2.0,2.0,73.0,1236.0,2.0,5906.148867313916
3.0,2.0,85.0,1050.0,3.0,8095.238095238095
